node,degree,eccentricity,betweenness_centrality,closeness_centrality,eigenvector_centrality,coreness_centrality,harmonic_centrality,clustering_coefficient,pagerank
0,3,9.0,80.32465811421682,0.20752512269221782,0.00041023665278964934,2,0.22149470899470539,0.3333333333333333,0.0009076280768003253
1,8,8.0,3687.763829639478,0.24130434782608695,0.0029077559685191413,4,0.2602115508365474,0.25,0.001964877711052579
2,9,9.0,457.14155154039946,0.2050334795659201,0.0005167631273001785,4,0.22538922851422485,0.25,0.002157719926830277
3,2,9.0,0.0,0.19495060373216247,0.0001718686919018856,2,0.205195373945372,1.0,0.0005812818254423871
4,8,7.0,1947.4441443609744,0.2870071105365223,0.0436290466343063,5,0.30886154011154004,0.07142857142857142,0.0012754234058871944
5,4,9.0,932.7986332667397,0.20200181983621474,0.00037464476932197655,2,0.2173106141856111,0.16666666666666666,0.001221875968971984
6,4,10.0,284.0537198220399,0.19456617002629273,0.0002118394258538769,3,0.21207368082367836,0.16666666666666666,0.001060364029385225
7,25,8.0,17901.345373917397,0.24707846410684475,0.0036693978184565114,4,0.27629638567138215,0.06,0.006503740060327728
8,12,9.0,4016.8285542771114,0.23313205565765294,0.002625295788210887,4,0.2632270663520615,0.10606060606060606,0.002480193381927633
9,1,10.0,0.0,0.16824554755589238,2.6799039538262345e-05,1,0.1764724545974558,0.0,0.0004017834351678425
10,2,9.0,0.0,0.19856887298747763,0.00021009373453817116,2,0.21198430573430313,1.0,0.0005936407306941898
11,2,9.0,347.9447157173182,0.1958103638368247,0.0001501512117820551,2,0.2074663949663928,0.0,0.0006420670279494431
12,16,8.0,8752.92144329016,0.26795413397706697,0.016938722901680872,4,0.29790460102959954,0.05,0.0034134925756932016
13,8,9.0,3791.4867434189323,0.24183006535947713,0.004445225986081268,4,0.26741920491920074,0.03571428571428571,0.0016058441412851534
14,1,10.0,0.0,0.17587641117052882,5.148312850523278e-05,1,0.1881868475618483,0.0,0.00037104721111107876
15,6,9.0,986.7978061885622,0.2225006264094212,0.0011886825635370232,4,0.24330938080937564,0.2,0.0013758461324469599
16,1,9.0,0.0,0.1981700513278286,0.0001841585885433229,1,0.21033265408265162,0.0,0.0003898560709381723
17,3,9.0,38.589633738542155,0.19834710743801653,0.00021117733245582936,3,0.211834155584153,0.3333333333333333,0.0008431010275012937
18,2,9.0,0.0,0.1982585398526457,0.00020474741719702982,2,0.21108340483340232,1.0,0.0006470173593647684
19,11,9.0,3228.7953853757294,0.21335896203748198,0.0010258119424061867,4,0.23917354854854386,0.10909090909090909,0.002618236852311429
20,5,7.0,21227.963725584883,0.2982868659724555,0.050840316625688664,4,0.3212194337194345,0.3,0.0011437366859181697
21,15,7.0,19825.643652888364,0.31816553206735937,0.08526624822551974,5,0.3464821964821993,0.03809523809523809,0.002565520869495266
22,5,9.0,896.594578971753,0.20223183785014803,0.0005339763841385177,3,0.21821151508651193,0.3,0.0013709089781227099
23,4,10.0,36.683162165106786,0.17728089439009784,0.00010465690717597068,3,0.19325977763477786,0.3333333333333333,0.0010223734384784671
24,12,9.0,4104.468707391417,0.2301710730948678,0.002121737294136657,4,0.2571754790504744,0.0606060606060606,0.0026801879184932364
25,4,9.0,1840.631101564046,0.19856887298747763,0.0001957885206786498,2,0.2130541255541229,0.0,0.001327833393206146
26,1,9.0,0.0,0.1981700513278286,0.00018415858854332,1,0.21033265408265162,0.0,0.0003898560709381723
27,2,9.0,285.31357655175236,0.21279654924514738,0.0008689178745313994,2,0.2277111933361891,0.0,0.0006097193453772565
28,2,10.0,299.94285726223603,0.17802726543704891,4.7001374573951066e-05,2,0.1897464428714433,0.0,0.0007103936774832414
29,1,9.0,0.0,0.1981700513278286,0.00018415858854332345,1,0.21033265408265162,0.0,0.0003898560709381723
30,2,10.0,64.32709046441512,0.16651040690043128,1.0063195068589584e-05,2,0.175684613184614,0.0,0.0007750364395816205
31,4,9.0,227.99392277825314,0.20646361311322947,0.0003317571101904025,3,0.22414378664378298,0.5,0.0010147071000239437
32,5,8.0,1961.371870163411,0.24680377987770985,0.0036641139655801025,4,0.26553115615615297,0.3,0.001201005929132512
33,3,9.0,38.94311585211361,0.20579374275782156,0.0003265146132064618,3,0.2222106034605999,0.6666666666666666,0.0008044150599498975
34,8,7.0,2357.4153271569107,0.30286493860845837,0.06711902321665761,5,0.3279493779493793,0.14285714285714285,0.0014617456382873552
35,2,8.0,520.0565813465096,0.24382207578253706,0.004299904591205919,2,0.25655700343200044,0.0,0.0005712697132516626
36,3,8.0,403.6998185334587,0.23617021276595745,0.0027625155168962594,3,0.25017025954525585,0.6666666666666666,0.0008173458338249253
37,1,9.0,0.0,0.2432876712328767,0.010276926063229627,1,0.25933522808522447,0.0,0.0002936550985535136
38,2,9.0,396.12277452865214,0.19932659932659932,0.00018837625441834387,2,0.2137861075361048,0.0,0.0006544259332012459
39,2,8.0,1033.428922118612,0.2468723936613845,0.004463474351095531,2,0.2625710531960501,0.0,0.0005352355868760395
40,1,9.0,0.0,0.2113782432754106,0.0008501153201786203,1,0.2243515837265797,0.0,0.00035007070197070993
41,2,9.0,396.12277452865214,0.19932659932659932,0.00018837625441834457,2,0.2137861075361048,0.0,0.0006544259332012459
42,1,8.0,0.0,0.23252160251374707,0.003368548517092914,1,0.24326469326468925,0.0,0.00032403938295502455
43,1,9.0,0.0,0.1981700513278286,0.00018415858854331716,1,0.21033265408265162,0.0,0.0003898560709381723
44,5,9.0,1244.626798540662,0.19959541469993258,0.00021097825778338387,3,0.2160383597883569,0.2,0.0013642135815087255
45,1,9.0,0.0,0.1981700513278286,0.00018415858854331732,1,0.21033265408265162,0.0,0.0003898560709381723
46,8,9.0,6177.80399434175,0.2189889025893958,0.0008305200808512882,3,0.23760099385098885,0.10714285714285714,0.0021429515988699286
47,1,10.0,0.0,0.16808631459398068,1.8802554352776838e-05,1,0.17607831045331163,0.0,0.00042837755229353797
48,8,9.0,1685.991400258169,0.23864552539639883,0.004585149694792066,4,0.2641842735592692,0.14285714285714285,0.0015452839592909517
49,10,10.0,4656.90532395924,0.18339529120198264,8.403786151475567e-05,2,0.20179018304018206,0.022222222222222223,0.003112586614861665
50,13,7.0,3050.739080675365,0.29172141918528255,0.07006822614652293,6,0.320498176748177,0.025641025641025644,0.0020378257524177783
51,1,10.0,0.0,0.16570255644709833,9.82617295945024e-06,1,0.17329293579293645,0.0,0.00045089350494329395
52,10,9.0,1231.4419909163298,0.23510722795869737,0.0051001931202821395,4,0.26141588016587564,0.13333333333333333,0.0019165076013623436
